# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
4461.6000 M141 116 3 268.6000 c51 c49 295 N c51->c42->c47->c49
4510.1000 M106 144 2 1343.1000 c54 p8 277 N c54->c53->p8
4576.5000 M102 132 3 1520.5000 c55 p7 274 N c55->c49->t61->p7
4592.3000 M91 135 4 1866.3000 p22 c41 268 N p22->t61->c57->c50->c41
4624.4000 M25 111 2 3894.4000 p34 c53 235 N p34->c49->c53
4637.1000 M145 156 3 322.1000 p9 c48 294 N p9->c47->c55->c48
4655.1000 M150 115 1 201.1000 c49 c42 296 N c49->c42
4682.8000 M37 138 2 3590.8000 c49 p39 240 N c49->p10->p39
4683.1000 M28 190 3 3865.1000 c53 p39 235 N c53->c49->p10->p39
4698.6000 M137 180 6 623.6000 p15 c58 289 N p15->t61->c55->c49->c54->c47->c58
4701.8000 M68 107 6 2674.8000 p4 p6 255 N p4->p26->p15->p16->c53->p8->p6
4709.2000 M134 126 3 716.2000 c57 c40 288 N c57->c43->c48->c40
4762.7000 M140 196 3 596.7000 c59 c51 290 N c59->c56->c57->c51
4809.1000 M147 191 3 436.1000 c48 p16 292 N c48->c50->c41->p16
4815.0000 M7 110 3 4612.0000 c51 p33 223 N c51->p31->p23->p33
4815.2000 M18 122 3 4292.2000 p11 p33 228 N p11->t60->p23->p33
4820.6000 M96 142 5 1937.6000 c41 p39 267 N c41->c44->c49->c53->p8->p39
4820.8000 M97 114 3 1909.8000 p36 p39 268 N p36->c53->p8->p39
4821.1000 M100 184 5 1829.1000 p27 p39 269 N p27->c47->c42->c53->p8->p39
4833.4000 M123 179 4 1158.4000 p9 p19 280 N p9->c56->p36->p0->p19
4840.0000 M3 122 5 4756.0000 p2 p35 220 N p2->c51->p31->p29->p1->p35
4849.0000 M159 192 3 118.0000 p6 c41 298 N p6->p31->c58->c41
4849.8000 M135 114 4 825.8000 c48 p4 286 N c48->c47->c40->p36->p4
4866.0000 M148 109 2 463.0000 c48 p38 292 N c48->p23->p38
4866.3000 M152 152 4 355.3000 c52 p38 294 N c52->c43->c46->p23->p38
4898.8000 M118 194 2 1371.8000 p17 p10 277 N p17->p8->p10
4899.0000 M108 135 4 1668.0000 c55 p10 272 N c55->c51->c53->p8->p10
4899.3000 M114 174 5 1488.3000 t60 p10 275 N t60->p30->c42->c53->p8->p10
5068.5000 M38 125 4 3947.5000 c57 p22 234 N c57->c41->p12->p32->p22
5068.8000 M132 195 1 1135.8000 p22 p32 281 N p22->p32
5073.0000 M136 112 3 1023.0000 c54 t61 282 N c54->p34->p8->t61
5173.1000 M151 181 1 689.1000 p32 p8 288 N p32->p8
5173.8000 M121 156 6 1555.8000 p10 p4 274 N p10->p6->p31->c58->p16->p19->p4
5221.1000 M95 185 2 2369.1000 p34 p22 260 N p34->p30->p22
5441.6000 M130 106 6 1566.6000 p24 c51 273 N p24->t60->p8->p32->c57->c44->c51
5546.7000 M158 132 3 844.7000 p23 p36 285 N p23->c54->c56->p36
5567.6000 M125 158 3 1831.6000 p3 c45 269 N p3->p4->p16->c45
5591.7000 M188 114 1 10.7000 p31 c46 299 N p31->c46
5677.9000 M161 121 3 889.9000 p32 c50 285 N p32->c57->c44->c50
5693.2000 M84 147 2 3189.2000 p7 p17 246 N p7->p39->p17
5693.4000 M119 112 4 2137.4000 c45 p17 264 N c45->c53->p8->p39->p17
5724.6000 M93 181 4 2933.6000 p20 c53 251 N p20->p24->p21->c44->c53
5728.7000 M164 129 4 851.7000 c55 c52 285 N c55->c44->c48->c58->c52
5807.8000 M176 175 3 563.8000 p21 p31 290 N p21->c44->c54->p31
5809.1000 M172 108 2 692.1000 c50 t60 288 N c50->p36->t60
5824.8000 M30 125 7 4943.8000 p0 p18 217 N p0->c50->c59->c40->p36->c48->p25->p18
5828.2000 M40 141 4 4644.2000 p20 c55 222 N p20->p24->p21->c44->c55
5879.1000 M89 120 3 3217.1000 p31 p2 246 N p31->p3->t60->p2
5882.4000 M50 158 3 4384.4000 p7 c48 226 N p7->p39->p8->c48
5921.8000 M162 162 4 1099.8000 p4 c51 281 N p4->p16->c49->c48->c51
6063.7000 M179 144 5 726.7000 p22 p17 287 N p22->c56->c44->c55->c49->p17
6099.4000 M170 181 9 1043.4000 p8 c47 282 N p8->p32->c57->c44->c41->c58->c48->p31->c52->c47
6162.5000 M190 158 5 520.5000 c47 p5 291 N c47->c49->p31->c51->p16->p5
6186.7000 M191 167 4 510.7000 t61 c49 291 N t61->c57->c40->c54->c49
6194.9000 M75 158 4 3953.9000 c45 p14 234 N c45->c48->p21->p24->p14
6213.0000 M199 113 2 292.0000 p38 c57 295 N p38->c41->c57
6464.9000 M214 116 3 106.9000 c51 c43 298 N c51->c56->c53->c43
6499.0000 M217 133 2 59.0000 c57 p38 299 N c57->c52->p38
6512.6000 M167 119 2 1547.6000 p2 c53 274 N p2->c40->c53
6568.5000 M204 142 4 504.5000 c52 c58 291 N c52->c50->c53->c43->c58
6643.9000 M35 132 4 5608.9000 c45 p11 206 N c45->c42->p30->p39->p11
6686.0000 M83 143 3 4207.0000 p3 p20 229 N p3->t61->p7->p20
6743.4000 M155 149 4 2141.4000 c50 p3 264 N c50->c51->c54->c56->p3
6915.0000 M166 187 2 1983.0000 p15 c56 266 N p15->c49->c56
6927.2000 M215 191 3 539.2000 c42 p8 291 N c42->c49->c59->p8
6927.5000 M198 174 2 1040.5000 t60 p8 282 N t60->c59->p8
6971.7000 M142 180 3 2751.7000 p12 c47 254 N p12->c56->c49->c47
6982.8000 M32 170 3 6037.8000 p36 p28 199 N p36->c48->p9->p28
6983.0000 M62 134 1 5126.0000 p9 p28 214 N p9->p28
6983.3000 M60 170 4 5180.3000 p26 p28 213 N p26->c50->c43->p9->p28
7034.2000 M232 152 2 143.2000 c40 c52 297 N c40->c43->c52
7105.7000 M206 173 5 981.7000 p12 c48 283 N p12->c56->c44->p5->c53->c48
7184.6000 M208 146 1 1005.6000 c58 p4 283 N c58->p4
7187.8000 M187 135 2 1636.8000 c58 p9 272 N c58->c46->p9
7205.2000 M197 151 6 1350.2000 p31 p27 277 N p31->c43->c55->c49->c58->c48->p27
7216.2000 M120 182 4 3627.2000 p19 p20 239 N p19->c40->p9->p28->p20
7216.4000 M153 108 3 2671.4000 p2 p20 255 N p2->p9->p28->p20
7239.7000 M154 167 4 2663.7000 p16 p1 255 N p16->c41->p36->t61->p1
7331.4000 M219 159 4 825.4000 p12 p24 286 N p12->c56->p3->p32->p24
7331.6000 M143 110 6 3082.6000 c41 p24 248 N c41->c54->c55->p34->p30->p32->p24
7331.8000 M174 114 5 2151.8000 c54 p24 264 N c54->c55->c56->p3->p32->p24
7363.0000 M201 184 2 1386.0000 c58 p30 276 N c58->c48->p30
7368.5000 M212 108 5 1070.5000 c57 t61 282 N c57->c50->c53->c43->c45->t61
7470.2000 M192 123 6 1767.2000 p26 p5 270 N p26->t60->c59->c51->c45->c57->p5
7528.6000 M200 152 3 1578.6000 p27 p32 273 N p27->c48->c45->p32
7528.6000 M242 143 3 339.6000 c57 p1 294 N c57->c54->c49->p1
7536.9000 M243 145 4 322.9000 p31 c51 294 N p31->c43->c55->c42->c51
7569.3000 M156 199 2 2933.3000 c55 p39 251 N c55->p13->p39
7577.8000 M196 141 3 1751.8000 c47 p23 270 N c47->c49->t61->p23
7578.0000 M220 137 2 1046.0000 c57 p23 282 N c57->t61->p23
7578.3000 M27 138 3 6793.3000 p35 p23 186 N p35->p20->t61->p23
7578.5000 M65 136 3 5632.5000 p24 p23 206 N p24->t60->t61->p23
7593.2000 M181 117 1 2201.2000 p19 p20 263 N p19->p20
7593.5000 M99 168 2 4626.5000 p35 p19 222 N p35->p20->p19
7628.5000 M66 194 5 5653.5000 p35 p31 205 N p35->p1->t61->c45->c57->p31
7647.9000 M245 142 1 365.9000 c57 c44 293 N c57->c44
7715.4000 M133 159 5 3752.4000 p1 c59 237 N p1->t61->c45->c57->c43->c59
7765.8000 M213 105 2 1437.8000 p9 p31 276 N p9->c53->p31
7879.1000 M189 127 4 2265.1000 p39 p33 262 N p39->p17->c49->c42->p33
7879.3000 M171 132 7 2792.3000 t60 p33 253 N t60->c57->c40->c48->c54->c49->c42->p33
7879.5000 M202 133 4 1872.5000 p12 p33 268 N p12->c44->c43->c42->p33
7933.2000 M225 139 3 1244.2000 p32 p33 279 N p32->p24->c47->p33
7942.7000 M173 146 3 2792.7000 p28 p27 253 N p28->p20->t61->p27
7945.1000 M258 195 4 278.1000 p15 c48 295 N p15->c53->c43->c59->c48
8015.8000 M234 134 3 1068.8000 p2 c54 282 N p2->c47->c46->c54
8028.4000 M157 189 5 3360.4000 c53 p7 243 N c53->c43->c49->p9->p28->p7
8043.7000 M221 106 4 1480.7000 c45 p30 275 N c45->c43->c56->c49->p30
8096.1000 M233 151 3 1180.1000 p26 c56 280 N p26->t61->c45->c56
8098.9000 M255 185 2 519.9000 c48 p30 291 N c48->p38->p30
8148.7000 M263 147 2 340.7000 p39 p21 294 N p39->p6->p21
8155.1000 M260 194 4 432.1000 c41 t61 292 N c41->c56->c50->c45->t61
8168.1000 M273 151 1 77.1000 p4 c54 298 N p4->c54
8168.3000 M247 121 3 824.3000 p1 p4 286 N p1->c49->c54->p4
8185.4000 M149 195 6 3757.4000 p15 p18 237 N p15->c40->c54->c56->c58->p8->p18
8199.4000 M82 112 4 5747.4000 p33 p29 204 N p33->c40->c52->p16->p29
8199.6000 M115 132 4 4762.6000 p26 p29 220 N p26->c49->c42->p16->p29
8211.7000 M126 185 4 4443.7000 p4 p34 225 N p4->p36->c56->p21->p34
8220.7000 M237 144 3 1187.7000 p16 c51 280 N p16->c56->c54->c51
8249.0000 M231 127 6 1391.0000 c41 p36 276 N c41->c49->c47->c43->c55->p32->p36
8249.2000 M203 133 4 2211.2000 c55 p36 263 N c55->c56->p3->p32->p36
8266.6000 M116 191 4 4799.6000 p35 p36 220 N p35->p1->t61->t60->p36
8356.9000 M227 126 3 1617.9000 p4 p9 273 N p4->c42->p33->p9
8357.1000 M165 118 7 3452.1000 p27 p9 242 N p27->c48->c49->c50->c51->c58->p33->p9
8423.8000 M195 131 5 2629.8000 p7 c59 256 N p7->p20->t60->c50->c56->c59
8447.2000 M275 160 1 297.2000 c41 c43 295 N c41->c43
8451.1000 M265 176 1 590.1000 c50 p11 290 N c50->p11
8451.3000 M216 116 3 2038.3000 c43 p11 266 N c43->c53->c50->p11
8502.9000 M274 110 3 383.9000 c45 c49 293 N c45->c50->c47->c49
8673.7000 M280 171 2 379.7000 c47 c45 293 N c47->c40->c45
8686.5000 M268 102 3 737.5000 c55 p30 287 N c55->c56->c59->p30
8716.9000 M286 183 3 254.9000 p31 c56 295 N p31->c46->c47->c56
8738.6000 M241 126 1 1580.6000 p36 c40 273 N p36->c40
8738.9000 M262 177 4 957.9000 p38 p36 284 N p38->c54->c46->c40->p36
8763.7000 M177 186 3 3493.7000 p11 c54 241 N p11->p38->c46->c54
8779.4000 M169 195 2 3756.4000 p3 p7 237 N p3->p32->p7
8909.2000 M279 170 3 641.2000 c53 c45 289 N c53->c59->c46->c45
8936.4000 M284 118 2 535.4000 c46 p36 291 N c46->t61->p36
8936.7000 M205 199 3 2843.7000 p23 p36 252 N p23->p20->t61->p36
9030.2000 M256 157 4 1420.2000 p11 c51 276 N p11->p38->c54->c53->c51
9063.6000 M146 163 4 4723.6000 c54 p35 221 N c54->c57->c56->p22->p35
9063.9000 M226 173 3 2349.9000 c47 p35 260 N c47->p24->p22->p35
9078.8000 M285 183 2 644.8000 c55 c56 289 N c55->c51->c56
9122.0000 M168 145 3 4125.0000 p28 p17 231 N p28->p20->t61->p17
9183.6000 M228 100 4 2412.6000 p0 p5 259 N p0->p36->p32->p28->p5
9254.4000 M281 133 4 934.4000 p36 c43 284 N p36->c40->c41->c47->c43
9374.6000 M230 167 2 2547.6000 p34 p39 257 N p34->c59->p39
9374.9000 M183 148 5 3928.9000 p19 p39 234 N p19->p30->c48->c50->c59->p39
9381.3000 M316 193 1 19.3000 c47 c54 299 N c47->c54
9383.3000 M295 182 3 661.3000 c50 c40 288 N c50->c54->c59->c40
9406.9000 M252 136 2 1922.9000 c55 p23 267 N c55->p5->p23
9418.5000 M223 104 2 2794.5000 c57 p7 253 N c57->c50->p7
9441.7000 M186 140 3 3916.7000 c49 p37 234 N c49->c58->p16->p37
9442.0000 M51 170 3 7914.0000 p11 p37 168 N p11->p17->p16->p37
9468.0000 M253 172 3 1954.0000 c41 p35 267 N c41->c43->p12->p35
9476.9000 M175 153 3 4265.9000 p24 p1 228 N p24->p32->p36->p1
9528.6000 M193 134 5 3799.6000 p23 c42 236 N p23->p20->t60->t61->c46->c42
9550.1000 M317 135 2 163.1000 c50 p35 297 N c50->p39->p35
9610.7000 M270 166 2 1602.7000 p22 c59 273 N p22->p35->c59
9654.6000 M222 124 2 3061.6000 p17 p24 248 N p17->t61->p24
9727.7000 M315 175 3 394.7000 t61 c59 293 N t61->p24->c56->c59
9809.2000 M310 113 2 621.2000 c42 c51 289 N c42->c55->c51
9903.7000 M278 147 3 1660.7000 p31 p3 272 N p31->c47->c44->p3
9904.0000 M250 166 3 2475.0000 c54 p3 258 N c54->c48->c44->p3
9939.8000 M288 145 3 1419.8000 p7 p3 276 N p7->c50->c58->p3
9952.1000 M267 155 3 2030.1000 p17 c46 266 N p17->t60->c42->c46
9955.1000 M312 196 3 710.1000 p24 c49 288 N p24->t60->c42->c49
9955.3000 M326 130 1 301.3000 c42 c49 294 N c42->c49
9983.1000 M254 108 3 2438.1000 p21 c55 259 N p21->p34->c43->c55
10117.6000 M300 156 4 1237.6000 p39 c49 279 N p39->p35->c59->c54->c49
10117.8000 M331 135 3 310.8000 c43 c54 294 N c43->c58->c49->c54
10120.6000 M210 164 4 3884.6000 c53 p26 235 N c53->c41->c57->t60->p26
10153.4000 M276 160 6 1970.4000 p0 p9 267 N p0->p22->p35->c59->c48->c54->p9
10200.5000 M238 197 3 3137.5000 c41 p13 247 N c41->p5->p28->p13
10200.8000 M194 152 6 4439.8000 c40 p13 226 N c40->c57->p21->c56->p5->p28->p13
10201.1000 M129 166 2 6353.1000 p18 p13 194 N p18->p28->p13
